start time,end time,all open bug,open high bug,open normal bug,open low bug,the other open bug,new bug,closed bug
2019-03-02,2019-03-09,275,17,204,32,22,50,54
2019-03-09,2019-03-16,270,16,200,32,22,6,11
2019-03-16,2019-03-23,272,16,202,32,22,2,0
2019-03-23,2019-03-30,292,18,220,32,22,30,10
2019-03-30,2019-04-06,290,18,217,33,22,26,28
2019-04-06,2019-04-13,346,23,269,33,21,119,63
2019-04-13,2019-04-20,313,22,235,33,23,96,129
2019-04-20,2019-04-27,299,15,228,33,23,115,129
2019-04-27,2019-05-04,285,14,216,32,23,15,29
2019-05-04,2019-05-11,298,14,228,33,23,17,4
2019-05-11,2019-05-18,300,14,232,31,23,9,7
2019-05-18,2019-05-25,288,14,220,30,24,119,131
2019-05-25,2019-06-01,268,16,215,26,11,6,26
2019-06-01,2019-06-08,237,14,187,24,12,47,78
2019-06-08,2019-06-15,232,14,182,24,12,13,18
2019-06-15,2019-06-22,232,14,182,24,12,46,46
2019-06-22,2019-06-29,263,16,210,25,12,33,2
2019-06-29,2019-07-06,264,15,212,25,12,48,47
2019-07-06,2019-07-13,248,14,199,23,12,30,46
2019-07-13,2019-07-20,256,15,206,23,12,45,37
